COMBIHALE FF 250 DPI Capsule 30's
Midacip 1.25mg Nasal Spray 3.5ml
Zalep 10mg Tablet 10'S
Zalep 5mg Tablet 10'S
THYROCIP 125 Tablet 120's
THYROCIP 150 Tablet 120's
THYROCIP 25 Tablet 120's
THYROCIP 75 Tablet 120's
THYROCIP 100 Tablet 120's
THYROCIP 50 Tablet 120's
Tadacip 20mg Tablet 4'S
Suhagra 100mg Tablet 4'S
Suhagra 50mg Tablet 4'S
Assurans Injection 12.5ml
TADAFLO 20 Tablet 10's
PULMOPRES Tablet 15's
Tadaflo 5mg Tablet 15'S
Tadaflo 10mg Tablet 10'S
Assurans Tablet 15'S
AVANAIR 200 Tablet 4's
AVANAIR 100 Tablet 4's
Omnigra 100mg Tablet 10'S
PROGRA 100 Tablet 4's
Tadacip 10mg Tablet 10'S
PROGRA 50 Tablet 4's
Podocip CV Tablet 10'S
Cefix O Tablet 10'S
Ceftaz 1gm Injection 1's
Cipmox CV 625mg Tablet 10'S
NOVACLAV 625mg Tablet 10's
Zoclar 500mg Tablet 4'S
Cephadex DT 250mg Tablet 10'S
Novaclav 625mg Tablet 6'S
Cipmox 500mg Capsule 15'S
Cefix 200mg Tablet 10'S
Foracne Gel 20gm
Megaclox Capsule 10'S
Cefix 100mg Tablet 10'S
Novaclox LB New Capsule 10'S
Zoclar 250mg Tablet 4'S
NOVACLOX NF Capsule 10's
Azicip 500mg Tablet 3'S
Azipro 250mg Tablet 6'S
Azicip 250mg Tablet 6'S
Cephadex 250mg Capsule 10'S
Olox 200mg Tablet 10'S
Azipro 500mg Tablet 3'S
Azomycin 500mg Tablet 3'S
Novaclav Dry Syrup 30ml
CEFIX PINEAPPLE Dry Syrup 30ml
Levoquin 500mg Tablet 5'S
Cipmox 250mg Capsule 15'S
Levoquin 250mg Tablet 5'S
Podocip 200mg Tablet 10'S
Cefrax O Tablet 10'S
Cipox CV 625mg Tablet 10'S
Fixobact 500mg Capsule 10'S
Roxee 150mg Tablet 10'S
Cefrax CV Tablet 10'S
Omniclav 250mg/125mg Tablet 6'S
CIPMOX 250 DT Tablet 10's
Cefrax 100mg Tablet 10'S
Lquin 500mg Tablet 10'S
PODOCIP 50 DS Oral Suspension 30ml
FOURDERM PLUS NF Cream 15gm
Cloderm S Ointment 20gm
Levoquin AX SR Tablet 5'S
Tariflox 200mg Tablet 10'S
Cefix 100mg Dry Syrup 30ml
CLODERM N SKIN Cream 15gm
Ciplox Infusion 100ml
Omniclav Dry Syrup 30ml
Cipmox CV 200mg Dry Syrup 30ml
Lquin 250mg Tablet 10'S
Cefrax DS Syrup 30ml
Levoquin OZ Tablet 10'S
Cephadex 125mg Dry Syrup 30ml
PODOCIP DT 50mg Tablet 10's
